Rank,Institution,Conference,2024
80,Air Force,MWC,"157,354"
135,Akron,MAC,"31,872"
9,Alabama,SEC,"700,539"
75,Appalachian St.,Sun Belt,"173,114"
43,Arizona,Big 12,"327,230"
50,Arizona St.,Big 12,"293,901"
19,Arkansas,SEC,"480,478"
108,Arkansas St.,Sun Belt,"107,226"
74,Army West Point,The American,"174,642"
8,Auburn,SEC,"704,344"
133,Ball St.,MAC,"49,206"
57,Baylor,Big 12,"253,810"
56,Boise St.,MWC,"259,801"
52,Boston College,ACC,"279,236"
123,Bowling Green,MAC,"80,149"
117,Buffalo,MAC,"88,711"
33,BYU,Big 12,"377,091"
53,California,ACC,"274,214"
109,Central Mich.,MAC,"106,509"
120,Charlotte,The American,"84,820"
67,Cincinnati,Big 12,"219,688"
13,Clemson,ACC,"565,641"
101,Coastal Carolina,Sun Belt,"119,897"
45,Colorado,Big 12,"315,082"
64,Colorado St.,MWC,"231,575"
81,Duke,ACC,"157,096"
66,East Carolina,The American,"224,415"
115,Eastern Mich.,MAC,"92,937"
126,FIU,CUSA,"76,889"
103,Fla. Atlantic,The American,"116,997"
10,Florida,SEC,"630,116"
34,Florida St.,ACC,"374,353"
60,Fresno St.,MWC,"243,602"
89,Ga. Southern,Sun Belt,"135,097"
14,Georgia,SEC,"558,198"
127,Georgia St.,Sun Belt,"76,829"
71,Georgia Tech,ACC,"191,078"
116,Hawaii,MWC,"90,739"
77,Houston,Big 12,"164,536"
32,Illinois,Big Ten,"383,250"
31,Indiana,Big Ten,"386,992"
18,Iowa,Big Ten,"484,750"
28,Iowa St.,Big 12,"405,185"
96,Jacksonville St.,CUSA,"124,936"
83,James Madison,Sun Belt,"150,427"
61,Kansas,Big 12,"236,448"
61,Kansas,Big 12,"236,448"
47,Kansas St.,Big 12,"309,213"
132,Kennesaw St.,CUSA,"54,071"
134,Kent St.,MAC,"42,236"
20,Kentucky,SEC,"476,129"
102,Liberty,CUSA,"119,796"
94,Louisiana,Sun Belt,"127,781"
113,Louisiana Tech,CUSA,"95,993"
48,Louisville,ACC,"305,179"
7,LSU,SEC,"708,645"
87,Marshall,Sun Belt,"138,133"
58,Maryland,Big Ten,"252,277"
128,Massachusetts,FBS Independent,"73,613"
76,Memphis,The American,"171,866"
37,Miami (FL),ACC,"359,588"
129,Miami (OH),MAC,"73,160"
2,Michigan,Big Ten,"884,382"
22,Michigan St.,Big Ten,"457,152"
125,Middle Tenn.,CUSA,"77,259"
42,Minnesota,Big Ten,"332,269"
39,Mississippi St.,SEC,"341,662"
23,Missouri,SEC,"438,347"
78,Navy,The American,"162,928"
29,NC State,ACC,"398,433"
11,Nebraska,Big Ten,"608,300"
100,Nevada,MWC,"121,014"
124,New Mexico,MWC,"80,007"
119,New Mexico St.,CUSA,"86,101"
130,NIU,MAC,"72,970"
41,North Carolina,ACC,"333,801"
88,North Texas,The American,"138,132"
98,Northwestern,Big Ten,"122,287"
16,Notre Dame,FBS Independent,"543,354"
110,Ohio,MAC,"105,846"
1,Ohio St.,Big Ten,"936,550"
12,Oklahoma,SEC,"584,593"
46,Oklahoma St.,Big 12,"313,212"
99,Old Dominion,Sun Belt,"121,629"
21,Ole Miss,SEC,"471,601"
25,Oregon,Big Ten,"414,178"
59,Oregon St.,FBS Independent,"250,595"
3,Penn St.,Big Ten,"864,665"
35,Pittsburgh,ACC,"371,539"
38,Purdue,Big Ten,"359,320"
107,Rice,The American,"108,856"
40,Rutgers,Big Ten,"338,384"
131,Sam Houston,CUSA,"54,886"
84,San Diego St.,MWC,"148,619"
105,San Jose St.,MWC,"112,406"
65,SMU,ACC,"228,563"
106,South Alabama,Sun Belt,"109,014"
15,South Carolina,SEC,"555,305"
72,South Fla.,The American,"185,178"
24,Southern California,Big Ten,"429,427"
90,Southern Miss.,Sun Belt,"134,740"
82,Stanford,ACC,"156,210"
54,Syracuse,ACC,"273,913"
55,TCU,Big 12,"267,632"
122,Temple,The American,"81,185"
6,Tennessee,SEC,"713,405"
4,Texas,SEC,"817,852"
5,Texas A&M,SEC,"719,927"
79,Texas St.,Sun Belt,"158,544"
27,Texas Tech,Big 12,"410,361"
93,Toledo,MAC,"129,111"
86,Troy,Sun Belt,"141,782"
85,Tulane,The American,"143,878"
97,Tulsa,The American,"122,468"
104,UAB,The American,"115,003"
49,UCF,Big 12,"301,327"
51,UCLA,Big Ten,"280,832"
73,UConn,FBS Independent,"177,624"
114,La.-Monroe,Sun Belt,"94,819"
70,UNLV,MWC,"193,215"
44,Utah,Big 12,"317,769"
111,Utah St.,MWC,"101,954"
112,UTEP,CUSA,"96,963"
95,UTSA,The American,"126,355"
69,Vanderbilt,SEC,"196,634"
63,Virginia,ACC,"233,991"
30,Virginia Tech,ACC,"393,792"
68,Wake Forest,ACC,"208,156"
26,Washington,Big Ten,"413,188"
91,Washington St.,FBS Independent,"134,480"
36,West Virginia,Big 12,"367,212"
121,Western Ky.,CUSA,"82,968"
118,Western Mich.,MAC,"88,129"
17,Wisconsin,Big Ten,"532,401"
92,Wyoming,MWC,"131,624"